,Unnamed: 0,Heading,Text,Datetime,Company,Category,Score,Score_blob
0,0,JPMAM leaves Climate Action 100+,JPMorgan Asset Management has become the latest firm to leave the Climate Action 100+ group.,2024-02-15 11:35:55+00:00,J.P. Morgan Asset Management,Environment,0.3182,0.1333333333333333
1,1,Barclays stops finance to new oil & gas projects,Barclays has published a revised climate change statement that includes an end to new finance for oil and gas projects.Â,2024-02-14 11:22:51+00:00,Barclays PLC,Environment,-0.1531,0.1363636363636363
2,2,PFZW pensions cuts oil & gas investments,Dutch pension fund PFZW has reduced its fossil fuel investments to seven oil and gas companies.,2024-02-14 11:11:20+00:00,Pensioenfonds Zorg en Welzijn,Environment,-0.296,0.0
3,3,Novartis publishes 2023 integrated report,Novartis has published its In Society Integrated Report for 2023.Â,2024-02-08 14:07:29+00:00,Novartis International AG,Social,0.0,0.0
4,4,EU agrees new rules for ESG ratings,The EU and the European Parliament have agreed new rules for the regulation of ESG ratings.,2024-02-07 14:38:02+00:00,European Union,Governance,0.2732,0.0681818181818181
5,5,MSCI adds private firm climate tool,"MSCI has announced the launch of MSCI Private Company Data Connect, a tool that provides access to private companies’ sustainability and climate data.Â",2024-02-07 09:41:44+00:00,MSCI Inc.,Environment,0.0,-0.1
6,6,Exxon sues ESG investors over climate plans,Exxon Mobil has filed a lawsuit against US and Dutch activist investors to attempt to remove what it calls their âextreme agendaâ from the ballot at its annual shareholder meetings.,2024-01-23 09:18:52+00:00,Exxon Mobil Corporation,Social,-0.2263,0.0
7,7,BlackRock sued by Tennessee over ESG aims,The US state of Tennessee is suing BlackRock for the alleged breaching of consumer protection laws by failing to fully disclose its ESG aims.Â,2023-12-19 12:12:46+00:00,"BlackRock, Inc.",Governance,-0.6597,-0.1
8,8,Impact Disclosure Taskforce launched,A group of financial institutions and industry stakeholders has formed the Impact Disclosure Taskforce to establish voluntary guidance to measure and disclose efforts to achieve the SDGs.,2023-11-29 11:02:57+00:00,Impact Coatings AB,Governance,0.128,0.0
9,9,Bloomberg launches SDG impact tool,Bloomberg has announced the launch of a tool for investors to assess the potential impact of a company’s business on the United Nations’ 17 Sustainable Development Goals.,2023-11-28 09:20:42+00:00,Bloomberg L.P.,Environment,0.4215,0.0
10,10,Cazenove publishes climate action plan,"Cazenove Capital has published its Climate Transition Action Plan, outlining the firm’s plans for achieving their climate goals.",2023-11-27 14:22:14+00:00,J.P. Morgan Cazenove,Environment,0.0,-0.05
11,11,Fidelity makes senior sustainability hires,Fidelity International has announced two senior hires in its sustainability team.,2023-10-30 11:07:32+00:00,Fidelity Investments,Environment,0.0,0.0
12,12,Aviva hires environment sustainability director,Aviva has appointed Leah Ramoutar as Environmental Sustainability Director.,2023-10-05 08:55:05+00:00,Aviva plc,Environment,0.0,0.0
13,13,Novelis publishes 2023 sustainability report,Novelis has issued its sustainability report for 2023 outlining the company’s progress toward its sustainability goals.,2023-09-25 08:46:40+00:00,Novelis Inc.,Environment,0.4215,0.0
14,14,UK announces new ESG reporting standards,The UK government has announced new reporting standards for corporate sustainability disclosures.,2023-08-14 10:20:48+00:00,United Kingdom,Environment,0.0,0.0681818181818181
15,15,UBS AM & Aon launch climate transition fund,UBS Asset Management and Aon have launched theÂ UBS Global Emerging Markets Equity Climate Transition Fund.,2023-08-03 08:22:58+00:00,UBS Group AG,Environment,0.4587999999999999,0.0
16,16,Amazon publishes 2022 sustainability report,Amazon has published its 2022 Sustainability Report outlining the firm’s sustainability progress including its Climate Pledge and net-zero carbon emissions.,2023-07-29 14:53:28+00:00,"Amazon.com, Inc.",Environment,0.5423,-0.2
17,17,Barclays adds to sustainable & impact team,Barclays has announced three new senior hires to its sustainable and impact investment banking team.Â,2023-07-18 16:21:53+00:00,Barclays PLC,Environment,0.0,0.1363636363636363
18,18,EU Parliament adopts nature law,The EU Nature Restoration Law has been adopted by the European Parliament.,2023-07-13 10:07:21+00:00,European Union,Governance,0.1779,0.0
19,19,MetLife publishes 2022 sustainability report,MetLife has published its latest sustainability report outlining its pledges to be delivered by 2030.,2023-07-13 09:54:15+00:00,"MetLife, Inc.",Environment,0.0,0.5
20,20,UBP publishes impact report for 2022,Union Bancaire Privée has published its 5th annual impact report.,2023-07-11 11:01:32+00:00,Union Bancaire Privée UBP SA,Social,0.0,0.0
21,21,Fidelity says 60% firms on target for net zero,Fidelity International’s third annual ESG analyst survey has found that less than 60% of companies are on track to cut their carbon emissions to net zero by 2050.,2023-07-04 13:51:44+00:00,Fidelity Investments,Environment,-0.2732,-0.0416666666666666
22,22,Carlyle publishes 2023 ESG report,Carlyle has published its 2023 ESG report that includes details of the progress the company has made towards its climate goals set in 2022.,2023-06-30 11:45:18+00:00,The Carlyle Group Inc.,Environment,0.4215,0.0
23,23,PMI publishes human rights report,"Philip Morris International has published its first Human Rights Report outlining the company’s strategy to promote, respect, and protect human rights.",2023-06-21 09:44:29+00:00,Philip Morris International Inc.,Social,0.8073999999999999,0.0625
24,24,Credit Suisse publishes plastic pollution study,"The Center for Sustainability of Credit Suisse has published a report on plastic pollution that explores the benefits and costs of plastic across environment, biodiversity and social pillars.",2023-06-01 10:34:57+00:00,Credit Suisse Group AG,Environment,0.6369,-0.0333333333333333
25,25,AP7 & LGIM launch climate transition strategy,Legal & General Investment Management and Swedish pension provider AP7 have partnered to launch a new climate transition strategy.,2023-05-30 15:10:34+00:00,Sjunde AP-fonden,Environment,0.128,0.1287878787878787
26,26,Cazenove publishes fund sustainability reports,Cazenove Capital has published its latest sustainability and impact investment reports.,2023-05-30 14:21:26+00:00,J.P. Morgan Cazenove,Environment,0.0,0.5
27,27,More insurers leave net-zero group,More insurers have left the Net-Zero Insurance Alliance following anti-ESG pressure from US Republicans.,2023-05-26 12:21:38+00:00,More,Environment,-0.296,0.1666666666666666
28,28,183 investors call for action to reduce plastic,183 investors with over USD $10 trillion in assets are signatories calling for urgent action to reduce plastics from intensive users of plastic packaging.,2023-05-16 12:10:41+00:00,183,Environment,0.3612,0.1
29,29,Endeavour issues 2022 sustainability report,Endeavour Mining plc has published its 2022 Sustainability Report.,2023-05-16 11:39:38+00:00,Endeavour Silver Corp.,Environment,0.0,0.0
30,30,Robeco publishes 2022 sustainability report,"Robeco has published its 2022 sustainability report detailing the firm’s sustainability integration, sustainable investment solutions and ownership activities.",2023-04-25 07:39:04+00:00,Robeco,Environment,0.1779,-0.2
31,31,Citi releases ESG report for 2022,"Citi has released its 2022 environmental, social and governance report.",2023-04-24 15:22:28+00:00,Citigroup Inc.,Environment,0.0,0.0333333333333333
32,32,2nd ASEAN Taxonomy phases out coal,"The second version of the ASEAN Taxonomy for Sustainable Finance has included a
framework for phasing out coal in the region.",2023-04-24 10:13:03+00:00,2nd,Environment,0.0,0.0
33,33,KPMG appoints global head of ESG,KPMG International has announced the appointment of John McCalla-Leacy as Head of Global ESG.,2023-04-23 10:20:57+00:00,KPMG,Governance,0.0,0.0
34,34,Climate AM to manage new fund for Apple,Climate Asset Management has said that it will manage a natural capital investment fund for Apple.,2023-04-17 10:34:14+00:00,Climate Change,Environment,0.6124,0.1
35,35,OMV publishes sustainability report 2022,OMV published its 2022 sustainability report detailing the firm’s progress towards net-zero.,2023-04-17 10:04:58+00:00,OMV Aktiengesellschaft,Environment,0.4215,-0.2
36,36,"MSCI downgrades ESG ratings of 31,000 funds","MSCI has made changes to its fund ESG ratings methodology that will mean 31,000 funds will see a one-off ratings downgrade.",2023-04-03 09:49:14+00:00,MSCI Inc.,Governance,0.0,-0.3125
37,37,HM Treasury consults on ESG rating regulation,The HM Treasury has started a consultation on a potential regulatory regime for ESG ratings providers.,2023-04-03 09:39:15+00:00,H&M Hennes & Mauritz AB,Governance,0.2023,0.0
38,38,Most UK firms not issued viable net zero plans,EY has said that over 80% of UK listed firms say they are committed to becoming net zero by 2050 but 95% have not yet disclosed detailed transition plans.,2023-04-03 09:21:31+00:00,Most,Environment,0.1406,0.2833333333333334
39,39,Shell publishes 2022 sustainability reports,Shell has published its sustainability and climate & energy transition reports for 2022 outlining the firm’s ESG performance.,2023-03-30 09:23:53+00:00,Royal Dutch Shell plc,Environment,0.2732,-0.2
40,40,WFE announces Green Equity Principles,"The World Federation of Exchanges has announced its Green Equity Principles, the first global framework for designating stocks and shares as green.",2023-03-25 15:22:09+00:00,World Federation of Exchanges,Environment,0.296,-0.0375
41,41,Nestlé publishes its 2022 sustainability report,Nestlé has published its 2022 sustainability report and its climate risk and impact reports.,2023-03-25 13:25:06+00:00,Nestlé S.A.,Environment,-0.2732,0.0
42,42,Jefferies publishes 2023 ESG/DEI report,Jefferies Financial Group has announced the publication of its annual ESG/DEI report.,2023-03-24 13:07:28+00:00,Jefferies Financial Group Inc.,Social,0.0,0.0
43,43,Credit Suisse issues 2023 sustainability report,Credit Suisse has published its 2023 sustainability report that includes its climate strategy and TCFD report.,2023-03-15 08:53:10+00:00,Credit Suisse Group AG,Environment,0.3818,0.0
44,44,Smurfit Kappa publishes ESG research,"A new survey conducted by Smurfit Kappa, in partnership with the Financial Times, shows that only 11% of businesses believe they have a robust sustainability strategy.",2023-03-15 08:38:47+00:00,Smurfit Kappa Group plc,Environment,0.34,0.0454545454545454
45,45,BMO publishes 2022 sustainability report,"BMO has published its 2022 Sustainability Reporting Suite, including the 2022 BMO Climate Report.",2023-03-07 15:58:55+00:00,Bank of Montreal (BMO Financial Group),Environment,0.0,0.0
46,46,UBS publishes 2022 sustainability report,UBS says the report details how the firm is meeting clients’ sustainable finance and investing needs and supports them in the transition to a low-carbon economy.,2023-03-06 09:25:25+00:00,UBS Group AG,Environment,0.3612,-0.2
47,47,AXA IM aligns senior pay to ESG ambitions,AXA Investment Managers says that it is now including ESG targets in the remuneration of its senior executives.,2023-02-26 13:15:56+00:00,AXA S.A.,Social,-0.1027,0.0
48,48,CSAM appoints head of active ownership,Credit Suisse Asset Management has appointed Christine Chow as Head of Active Ownership.,2023-01-26 10:05:25+00:00,"China Asset Management Co., Ltd.",Governance,0.7783,-0.1333333333333333
49,49,86% of UK smid caps link pay to ESG,New research from Peel Hunt and SIFA Strategy shows that ESG has now become a key component in boardrooms of UK mid- and small-cap companies.,2022-12-19 10:31:49+00:00,86%,Governance,-0.1027,0.0454545454545454
50,50,S&P announce sustainability indices changes,S&P Dow Jones Indices has announced the results of the annual Dow Jones Sustainability Indices rebalancing and reconstitution.,2022-12-12 12:28:06+00:00,Standard & Poor's Financial Services LLC,Environment,0.0,0.0
51,51,EU adopts sustainability reporting directive,The Council of the EU has formally adopted the Corporate Sustainability Reporting Directive (CSRD).,2022-12-05 11:52:57+00:00,European Union,Environment,0.1779,0.0
52,52,ESG Book ranks top 100 ESG companies,"ESG Book has launched its ESG Companies leaderboard, a global ranking of the 100 leading corporate performers on ESG issues.",2022-12-01 09:51:34+00:00,"Environmental, Social, and Governance",Governance,0.128,0.5
53,53,Piper Sandler releases inaugural ESG report,"Piper Sandler has released its first ESG report detailing the firm’s efforts on behalf of its employees, clients, communities and shareholders.",2022-11-15 16:36:54+00:00,Piper Sandler Companies,Social,0.0,0.0249999999999999
54,54,LSEG & Mizuho to partner on ESG services,LSEG and the Mizuho Financial Group have announced an agreement to collaborate in providing sustainability solutions to the bank’s corporate clients.,2022-11-11 11:04:20+00:00,London Stock Exchange Group plc,Environment,0.5994,0.0
55,55,DB CIO survey: investors increase ESG support,Deutsche Bank’s Private Bank has published its 2022 ESG client survey showing that 53% regard climate change as the most important factor affecting their investment decisions.,2022-11-09 11:04:47+00:00,Deutsche Bank AG,Environment,0.2716,0.3
56,56,Germany & Italy top green bond issuers in Q3,Germany and Italy were Europe’s top issuers of green bonds in Q3 of 2022 according to S&P Global Market Intelligence analysis.,2022-11-03 13:53:38+00:00,Federal Republic of Germany,Environment,0.5994,0.0999999999999999
